,max_frame,condition
pos000,34,JE2RFP_gltTGFP_PAO1_TSB
pos001,35,JE2RFP_gltTGFP_PAO1_TSB
pos002,33,JE2RFP_gltTGFP_PAO1_TSB
pos003,40,JE2RFP_gltTGFP_PAO1_TSB
pos004,54,JE2GFP_gltTRFP_PAO1_TSB
pos005,61,JE2GFP_gltTRFP_PAO1_TSB
pos006,61,JE2GFP_gltTRFP_PAO1_TSB
pos007,61,JE2GFP_gltTRFP_PAO1_TSB
pos008,80,JE2RFP_gltTGFP_PAO1_TSB3h
pos009,68,JE2RFP_gltTGFP_PAO1_TSB3h
pos010,80,JE2RFP_gltTGFP_PAO1_TSB3h
pos011,80,JE2RFP_gltTGFP_PAO1_TSB3h
pos012,80,JE2GFP_gltTRFP_PAO1_TSB3h
pos013,80,JE2GFP_gltTRFP_PAO1_TSB3h
pos014,80,JE2GFP_gltTRFP_PAO1_TSB3h
pos015,88,JE2GFP_gltTRFP_PAO1_TSB3h
pos016,80,JE2RFP_gltTGFP_PAO1_TSB16h
pos017,80,JE2RFP_gltTGFP_PAO1_TSB16h
pos018,80,JE2RFP_gltTGFP_PAO1_TSB16h
pos019,80,JE2RFP_gltTGFP_PAO1_TSB16h
pos020,80,JE2GFP_gltTRFP_PAO1_TSB16h
pos021,80,JE2GFP_gltTRFP_PAO1_TSB16h
pos022,80,JE2GFP_gltTRFP_PAO1_TSB16h
pos023,80,JE2GFP_gltTRFP_PAO1_TSB16h
